FactID	Fact_Statement
3820001	Cristiano Ronaldo's current team is Real Madrid.
3820002	Narendra Modi's role is Chief Minister of Gujarat.
3820003	Michael Keaton's award is Academy Award for Best Actor.
3820004	Liverpool F.C. is Luis Suárez's current squad.
3820005	Golden Globe is Liam Neeson's honour.
3820006	Los Angeles Lakers is LeBron James' squad.
3820007	DataFox is Oracle Corporation's subsidiary.
3820008	Interstellar (film) stars Casey Affleck.
3820009	Barack Obama's award is Profile in Courage Award.
3820010	Virat Kohli's birth place is Delhi, India.
